"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"11","A0A075B768;A0A075B785;A0A2R8Y566;Q9P260","A0A075B768;A0A075B785;A0A2R8Y566;Q9P260","A0A075B768;A0A075B785;A0A2R8Y566;Q9P260","1;1;1;1","1;1;1;1","1;1;1;1","RAB11-binding protein RELCH (Fragment);RAB11-binding protein RELCH;RAB11-binding protein RELCH;RAB11-binding protein RELCH",4,1,1,1
"12","E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;Q16881;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;E9PJU2","E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;Q16881;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;E9PJU2","E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;Q16881;E2QRB9;E9PKD3","21;21;21;21;21;21;17;11;7;7;5;5;4;2;1","21;21;21;21;21;21;17;11;7;7;5;5;4;2;1","20;20;20;20;20;20;16;10;6;6;4;4;4;2;1","Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasm",15,21,21,20
"13","A0A087X2I2;A0A087WT12;P36969;K7ERP4;A0A0A0MTT1;K7EKX7;R4GNE4;K7ENB4;K7EJ20","A0A087X2I2;A0A087WT12;P36969;K7ERP4;A0A0A0MTT1;K7EKX7;R4GNE4;K7ENB4;K7EJ20","A0A087X2I2;A0A087WT12;P36969;K7ERP4;A0A0A0MTT1;K7EKX7;R4GNE4;K7ENB4;K7EJ20","2;2;2;1;1;1;1;1;1","2;2;2;1;1;1;1;1;1","2;2;2;1;1;1;1;1;1","Glutathione peroxidase;Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase;Glutathione peroxidase (Fragment);Glutathione peroxidase (Fragment);Glutathione peroxidase (Fragment);Glutathione peroxidase (Fragment);Glutathione peroxidase;G",9,2,2,2
"14","A0A087WT20;Q9NV06;B3KME9;E5RHM4","A0A087WT20;Q9NV06;B3KME9;E5RHM4","A0A087WT20;Q9NV06;B3KME9","5;5;3;1","5;5;3;1","5;5;3;1","DDB1- and CUL4-associated factor 13;DDB1- and CUL4-associated factor 13;DDB1- and CUL4-associated factor 13",4,5,5,5
"15","A0A087WT35;P78356","A0A087WT35;P78356","A0A087WT35;P78356","1;1","1;1","1;1","Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (Fragment);Phosphatidylinositol 5-phosphate 4-kinase type-2 beta",2,1,1,1
"16","A0A087WT38;Q96I51","A0A087WT38;Q96I51","A0A087WT38;Q96I51","1;1","1;1","1;1","RCC1-like G exchanging factor-like protein (Fragment);RCC1-like G exchanging factor-like protein",2,1,1,1
"17","I3L159;I3L1F5;A0A087WT44;P30519;I3L1Y2;I3L276;I3L4P8;A0A1B0GXH0;I3L463","I3L159;I3L1F5;A0A087WT44;P30519;I3L1Y2;I3L276;I3L4P8;A0A1B0GXH0;I3L463","I3L159;I3L1F5;A0A087WT44;P30519","5;5;5;5;1;1;1;1;1","5;5;5;5;1;1;1;1;1","5;5;5;5;1;1;1;1;1","Heme oxygenase 2 (Fragment);Heme oxygenase 2 (Fragment);Heme oxygenase 2;Heme oxygenase 2",9,5,5,5
"18","E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1;E9PPB5;E9PQS1;A0A087WT99;A0A1W2PRB8;Q9H0W9","E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1;E9PPB5;E9PQS1;A0A087WT99;A0A1W2PRB8;Q9H0W9","E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1;E9PPB5;E9PQS1;A0A087WT99;A0A1W2PRB8;Q9H0W9","1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1","Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Ester hydrolase C11orf54 (Fragment);Este",10,1,1,1
"19","A0A087WTA5;E7ERK9;Q9UI10;A0A087WW69;F8W8L6","A0A087WTA5;E7ERK9;Q9UI10;A0A087WW69;F8W8L6","A0A087WTA5;E7ERK9;Q9UI10;A0A087WW69;F8W8L6","4;4;4;2;2","4;4;4;2;2","4;4;4;2;2","Translation initiation factor eIF-2B subunit delta;Translation initiation factor eIF-2B subunit delta;Translation initiation factor eIF-2B subunit delta;Translation initiation factor eIF-2B subunit delta;Eukaryotic translation initiation factor 2B subunit ",5,4,4,4
"20","A0A087WTA8;P08123","A0A087WTA8;P08123","A0A087WTA8;P08123","58;58","58;58","58;58","Collagen alpha-2(I) chain;Collagen alpha-2(I) chain",2,58,58,58
"21","F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1;O75251","F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1;O75251","F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1;O75251","2;2;2;2;2","2;2;2;2;2","2;2;2;2;2","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur prote",5,2,2,2
"22","F8W1I4;Q8TBL5;A0A087WTL9;F8VY40;Q96J85;Q71RC2","F8W1I4;Q8TBL5;A0A087WTL9;F8VY40;Q96J85;Q71RC2","F8W1I4;Q8TBL5;A0A087WTL9;F8VY40;Q96J85;Q71RC2","1;1;1;1;1;1","1;1;1;1;1;1","1;1;1;1;1;1","La-related protein 4 (Fragment);LARP4 protein;La-related protein 4;La-related protein 4 (Fragment);C-Mpl binding protein;La-related protein 4",6,1,1,1
"23","C9JGR9;E7EQ49;A0A087WTQ2;A0A3B3IT47;Q9Y2I8","C9JGR9;E7EQ49;A0A087WTQ2;A0A3B3IT47;Q9Y2I8","C9JGR9;E7EQ49;A0A087WTQ2;A0A3B3IT47;Q9Y2I8","2;2;2;2;2","2;2;2;2;2","2;2;2;2;2","WD repeat-containing protein 37 (Fragment);WD repeat-containing protein 37;WD repeat-containing protein 37;WD repeat-containing protein 37;WD repeat-containing protein 37",5,2,2,2
"24","A0A087WVR3;A0A087WTW0;Q96T88;A0A087WWG9","A0A087WVR3;A0A087WTW0;Q96T88;A0A087WWG9","A0A087WVR3;A0A087WTW0;Q96T88;A0A087WWG9","5;5;5;4","4;4;4;3","4;4;4;3","E3 ubiquitin-protein ligase UHRF1;E3 ubiquitin-protein ligase UHRF1;E3 ubiquitin-protein ligase UHRF1;E3 ubiquitin-protein ligase UHRF1 (Fragment)",4,5,4,4
"25","F8W0R1;F8VR88;F8VUZ2;F8VPA6;A0A087WU02;Q96RQ1","F8W0R1;F8VR88;F8VUZ2;F8VPA6;A0A087WU02;Q96RQ1","F8W0R1;F8VR88;F8VUZ2;F8VPA6;A0A087WU02;Q96RQ1","2;2;2;2;2;2","2;2;2;2;2;2","2;2;2;2;2;2","Endoplasmic reticulum-Golgi intermediate compartment protein 2 (Fragment);Endoplasmic reticulum-Golgi intermediate compartment protein 2 (Fragment);Endoplasmic reticulum-Golgi intermediate compartment protein 2 (Fragment);Endoplasmic reticulum-Golgi interm",6,2,2,2
"26","A0A087WU53;Q9H0U3","A0A087WU53;Q9H0U3","A0A087WU53;Q9H0U3","5;5","5;5","5;5","Magnesium transporter protein 1;Magnesium transporter protein 1",2,5,5,5
"27","A0A087WUC6;Q15005;E9PL01;E9PI68;E9PRB9;H0YE04","A0A087WUC6;Q15005;E9PL01;E9PI68;E9PRB9;H0YE04","A0A087WUC6;Q15005;E9PL01;E9PI68;E9PRB9","12;12;11;11;6;4","12;12;11;11;6;4","12;12;11;11;6;4","Signal peptidase complex subunit 2;Signal peptidase complex subunit 2;Signal peptidase complex subunit 2;Signal peptidase complex subunit 2;Signal peptidase complex subunit 2",6,12,12,12
"28","A0A087WUD3;Q9NRP0","A0A087WUD3;Q9NRP0","A0A087WUD3;Q9NRP0","1;1","1;1","1;1","Oligosaccharyltransferase complex subunit;Oligosaccharyltransferase complex subunit OSTC",2,1,1,1
"29","A0A087WUK2;O14979","A0A087WUK2;O14979","A0A087WUK2;O14979","12;12","10;10","10;10","Heterogeneous nuclear ribonucleoprotein D-like;Heterogeneous nuclear ribonucleoprotein D-like",2,12,10,10
"30","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","3;3;2;2","3;3;2;2","3;3;2;2","Proteasome subunit beta type-3 (Fragment);Proteasome subunit beta type-3;Proteasome subunit beta type-3;Proteasome subunit beta type-3",4,3,3,3
"31","A0A087WUQ6;P07203;A0A2R8Y6B6;A0A494C1C9;A0A494C118","A0A087WUQ6;P07203;A0A2R8Y6B6;A0A494C1C9;A0A494C118","A0A087WUQ6;P07203;A0A2R8Y6B6","9;9;7;1;1","9;9;7;1;1","9;9;7;1;1","Glutathione peroxidase;Glutathione peroxidase 1;Glutathione peroxidase 1",5,9,9,9
"33","A0A087WUT6;O60841","A0A087WUT6;O60841","A0A087WUT6;O60841","11;11","11;11","11;11","Eukaryotic translation initiation factor 5B;Eukaryotic translation initiation factor 5B",2,11,11,11
"34","A0A087WUX8;A0A087WYF7;Q6UXV4","A0A087WUX8;A0A087WYF7;Q6UXV4","A0A087WUX8;A0A087WYF7;Q6UXV4","3;3;3","3;3;3","3;3;3","MICOS complex subunit;MICOS complex subunit;MICOS complex subunit MIC27",3,3,3,3
"35","X6RCC3;A0A087WV97;Q8WU79","X6RCC3;A0A087WV97;Q8WU79","X6RCC3;A0A087WV97;Q8WU79","3;3;3","3;3;3","3;3;3","Stromal membrane-associated protein 2 (Fragment);Stromal membrane-associated protein 2;Stromal membrane-associated protein 2",3,3,3,3
"36","A0A087WVC1;Q9BQ39","A0A087WVC1;Q9BQ39","A0A087WVC1;Q9BQ39","9;9","7;7","7;7","ATP-dependent RNA helicase DDX50;ATP-dependent RNA helicase DDX50",2,9,7,7
"37","A0A087WVF7;Q9NZM3;E7EPJ2;F8W719","A0A087WVF7;Q9NZM3;E7EPJ2;F8W719","A0A087WVF7;Q9NZM3;E7EPJ2","7;7;5;1","7;7;5;1","7;7;5;1","Intersectin-2;Intersectin-2;Intersectin-2 (Fragment)",4,7,7,7
"38","A0A087WVM4;B7ZM99;Q6UB35;Q4VXM0;H0Y327;Q4VXM1;Q4VXV2","A0A087WVM4;B7ZM99;Q6UB35;Q4VXM0;H0Y327;Q4VXM1;Q4VXV2","A0A087WVM4;B7ZM99;Q6UB35","11;11;11;2;2;1;1","9;9;9;2;2;1;1","9;9;9;2;2;1;1","Monofunctional C1-tetrahydrofolate synthase, mitochondrial;MTHFD1L protein;Monofunctional C1-tetrahydrofolate synthase, mitochondrial",7,11,9,9
"39","A0A087WVQ6;Q00610;J3KS13;P53675;A0A087WX41;K7EJJ5;J3KRF5;J3KSQ2;J3QL20;F5H5N6;A0A087WV74;A0A087WXH4","A0A087WVQ6;Q00610;J3KS13;P53675;A0A087WX41;K7EJJ5;J3KRF5;J3KSQ2;J3QL20;F5H5N6;A0A087WV74;A0A087WXH4","A0A087WVQ6;Q00610","73;73;26;18;17;13;6;3;1;1;1;1","73;73;26;18;17;13;6;3;1;1;1;1","73;73;26;18;17;13;6;3;1;1;1;1","Clathrin heavy chain;Clathrin heavy chain 1",12,73,73,73
"40","A0A087WZC4;A0A087WVW4;O43548","A0A087WZC4;A0A087WVW4;O43548","A0A087WZC4;A0A087WVW4;O43548","2;2;2","1;1;1","1;1;1","Protein-glutamine gamma-glutamyltransferase 5;Protein-glutamine gamma-glutamyltransferase 5;Protein-glutamine gamma-glutamyltransferase 5",3,2,1,1
"41","H7C4X9;A0A087WVZ6;A0A087WV57;A0A087WYS3;Q9ULU4","H7C4X9;A0A087WVZ6;A0A087WV57;A0A087WYS3;Q9ULU4","H7C4X9;A0A087WVZ6;A0A087WV57;A0A087WYS3;Q9ULU4","2;2;1;1;1","2;2;1;1;1","2;2;1;1;1","Protein kinase C-binding protein 1 (Fragment);Protein kinase C-binding protein 1;Protein kinase C-binding protein 1;Protein kinase C-binding protein 1;Protein kinase C-binding protein 1",5,2,2,2
"42","A0A087WWX0;A0A087WVZ9;A0A0A0MQR7;P19388;A0A087WVN5","A0A087WWX0;A0A087WVZ9;A0A0A0MQR7;P19388;A0A087WVN5","A0A087WWX0;A0A087WVZ9;A0A0A0MQR7;P19388;A0A087WVN5","2;2;2;2;1","2;2;2;2;1","2;2;2;2;1","DNA-directed RNA polymerases I, II, and III subunit RPABC1 (Fragment);DNA-directed RNA polymerases I, II, and III subunit RPABC1;DNA-directed RNA polymerases I, II, and III subunit RPABC1;DNA-directed RNA polymerases I, II, and III subunit RPABC1;DNA-direc",5,2,2,2
"43","A0A087WW40;Q9Y371","A0A087WW40;Q9Y371","A0A087WW40;Q9Y371","6;6","6;6","6;6","Endophilin-B1;Endophilin-B1",2,6,6,6
"44","A0A087WW65;A0A5F9ZA98;O75027;A0A590UJS8;B4DGL8;A0A2R8Y473;A0A2R8YF35;E9PJR8","A0A087WW65;A0A5F9ZA98;O75027;A0A590UJS8;B4DGL8;A0A2R8Y473;A0A2R8YF35;E9PJR8","A0A087WW65;A0A5F9ZA98;O75027;A0A590UJS8;B4DGL8;A0A2R8Y473","6;6;6;5;5;4;1;1","6;6;6;5;5;4;1;1","6;6;6;5;5;4;1;1","ATP-binding cassette sub-family B member 7, mitochondrial;ATP-binding cassette sub-family B member 7, mitochondrial;ATP-binding cassette sub-family B member 7, mitochondrial;ATP-binding cassette sub-family B member 7, mitochondrial;ATP-binding cassette sub",8,6,6,6
"45","A0A087WW74;O94885","A0A087WW74;O94885","A0A087WW74;O94885","1;1","1;1","1;1","SAM and SH3 domain-containing protein 1;SAM and SH3 domain-containing protein 1",2,1,1,1
"46","A0A087WW77;Q15334","A0A087WW77;Q15334","A0A087WW77;Q15334","7;7","7;7","7;7","Lethal(2) giant larvae protein homolog 1;Lethal(2) giant larvae protein homolog 1",2,7,7,7
"47","H7C0K6;A0A3B3ITK3;A0A3F2YNW9;A0A3B3IUA1;A0A3B3IU40;A0A3B3IT28;A0A3B3ITE5;A0A3B3ITF7;A0A3B3ITW6;A0A087WWA3;Q4R9M9;Q12756;O60333","H7C0K6;A0A3B3ITK3;A0A3F2YNW9;A0A3B3IUA1;A0A3B3IU40;A0A3B3IT28;A0A3B3ITE5;A0A3B3ITF7;A0A3B3ITW6;A0A087WWA3;Q4R9M9;Q12756;O60333","H7C0K6;A0A3B3ITK3;A0A3F2YNW9;A0A3B3IUA1;A0A3B3IU40;A0A3B3IT28;A0A3B3ITE5;A0A3B3ITF7;A0A3B3ITW6;A0A087WWA3;Q4R9M9;Q12756;O60333","1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1","Kinesin-like protein (Fragment);Kinesin-like protein KIF1A (Fragment);Kinesin-like protein KIF1A;Kinesin-like protein KIF1A;Kinesin-like protein KIF1A;Kinesin-like protein KIF1A;Kinesin-like protein KIF1A;Kinesin-like protein KIF1A;Kinesin-like protein KIF",13,1,1,1
"48","A0A087WWD4;P13591","A0A087WWD4;P13591","A0A087WWD4;P13591","5;5","5;5","1;1","Neural cell adhesion molecule 1;Neural cell adhesion molecule 1",2,5,5,1
"49","A0A087WWE6;A0A087X246;F8WF49;A0A0B4J2C2;Q9Y2H0","A0A087WWE6;A0A087X246;F8WF49;A0A0B4J2C2;Q9Y2H0","A0A087WWE6;A0A087X246;F8WF49;A0A0B4J2C2;Q9Y2H0","1;1;1;1;1","1;1;1;1;1","1;1;1;1;1","Disks large-associated protein 4 (Fragment);Disks large-associated protein 4 (Fragment);Disks large-associated protein 4;Discs, large (Drosophila) homolog-associated protein 4, isoform CRA_b;Disks large-associated protein 4",5,1,1,1
"50","C9IZD2;C9J8Z7;C9JLE1;C9JHC7;F8W8R3;A0A087WWF6;P49005","C9IZD2;C9J8Z7;C9JLE1;C9JHC7;F8W8R3;A0A087WWF6;P49005","C9IZD2;C9J8Z7;C9JLE1;C9JHC7;F8W8R3;A0A087WWF6;P49005","1;1;1;1;1;1;1","1;1;1;1;1;1;1","1;1;1;1;1;1;1","DNA polymerase delta subunit 2 (Fragment);DNA polymerase delta subunit 2 (Fragment);DNA polymerase delta subunit 2 (Fragment);DNA polymerase delta subunit 2 (Fragment);DNA polymerase delta subunit 2;DNA polymerase delta subunit 2;DNA polymerase delta subun",7,1,1,1
"51","C9J5J3;A0A0D9SF32;A0A087WWJ2;C9J5D1;E7EQ69;Q9GZZ1;F8WCK0;C9JZU6;B0AZT5","C9J5J3;A0A0D9SF32;A0A087WWJ2;C9J5D1;E7EQ69;Q9GZZ1;F8WCK0;C9JZU6;B0AZT5","C9J5J3;A0A0D9SF32;A0A087WWJ2;C9J5D1;E7EQ69;Q9GZZ1;F8WCK0;C9JZU6;B0AZT5","2;2;2;2;2;2;1;1;1","2;2;2;2;2;2;1;1;1","2;2;2;2;2;2;1;1;1","N-alpha-acetyltransferase 50;N-alpha-acetyltransferase 50;N-alpha-acetyltransferase 50;N-alpha-acetyltransferase 50;N-alpha-acetyltransferase 50;N-alpha-acetyltransferase 50;N-alpha-acetyltransferase 50;N-alpha-acetyltransferase 50 (Fragment);N-alpha-acety",9,2,2,2
"52","H0YMB3;H0YLV5;A0A087WWM4;F8WAN9;H0YNJ6;Q9P2T1;H0YN22;H0YK13;H0YNS9;H0YLB8;H0YKE1;H0YMW6;H0YK71;H0YNH0","H0YMB3;H0YLV5;A0A087WWM4;F8WAN9;H0YNJ6;Q9P2T1;H0YN22;H0YK13;H0YNS9;H0YLB8;H0YKE1;H0YMW6;H0YK71;H0YNH0","H0YMB3;H0YLV5;A0A087WWM4;F8WAN9;H0YNJ6;Q9P2T1;H0YN22;H0YK13;H0YNS9;H0YLB8","4;4;4;4;4;4;2;2;2;2;1;1;1;1","4;4;4;4;4;4;2;2;2;2;1;1;1;1","4;4;4;4;4;4;2;2;2;2;1;1;1;1","GMP reductase;GMP reductase;GMP reductase;GMP reductase;GMP reductase;GMP reductase 2;GMP reductase 2 (Fragment);GMP reductase 2 (Fragment);GMP reductase 2 (Fragment);GMP reductase 2 (Fragment)",14,4,4,4
"53","A0A494C001;A0A499FJY3;A0A087WWP4;Q96T37","A0A494C001;A0A499FJY3;A0A087WWP4;Q96T37","A0A494C001;A0A499FJY3;A0A087WWP4;Q96T37","9;9;9;9","9;9;9;9","9;9;9;9","RNA-binding protein 15;RNA-binding protein 15;RNA-binding protein 15;RNA-binding protein 15",4,9,9,9
"54","A0A087WWS1;Q96FV9;J3KT14;R4GMN4;A0A087WY84;J3KRD7;R4GN58;J3QQZ3","A0A087WWS1;Q96FV9;J3KT14;R4GMN4;A0A087WY84;J3KRD7;R4GN58;J3QQZ3","A0A087WWS1;Q96FV9","6;6;2;2;2;1;1;1","6;6;2;2;2;1;1;1","6;6;2;2;2;1;1;1","THO complex subunit 1;THO complex subunit 1",8,6,6,6
"55","A0A087WWU1;Q96Q45;F2Z329","A0A087WWU1;Q96Q45;F2Z329","A0A087WWU1;Q96Q45;F2Z329","2;2;1","2;2;1","2;2;1","Transmembrane protein 237;Transmembrane protein 237;Transmembrane protein 237",3,2,2,2
"56","A0A087WWU8;D6R904;J3KN67;A0A494C0P6;A0A2R2Y2Q3;A0A494C0G0;P06753;H0YL80;Q5VU61;A0A494C0V8","A0A087WWU8;D6R904;J3KN67;A0A494C0P6;A0A2R2Y2Q3;A0A494C0G0;P06753;H0YL80;Q5VU61;A0A494C0V8","A0A087WWU8;D6R904;J3KN67","23;16;14;11;11;10;10;7;6;1","14;9;5;2;2;3;1;0;6;0","14;9;5;2;2;3;1;0;6;0","Tropomyosin alpha-3 chain;Tropomyosin alpha-3 chain;Tropomyosin alpha-3 chain",10,23,14,14
"57","A0A087WXC5;E7ESZ7;O95299;H7C2W5;H7C1Y7;H7C2X4;Q8N1B9;C9J6X0","A0A087WXC5;E7ESZ7;O95299;H7C2W5;H7C1Y7;H7C2X4;Q8N1B9;C9J6X0","A0A087WXC5;E7ESZ7;O95299;H7C2W5;H7C1Y7;H7C2X4","5;5;5;3;3;3;1;1","5;5;5;3;3;3;1;1","5;5;5;3;3;3;1;1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiqu",8,5,5,5
"58","A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;A0A087WY81;J3KSJ0","A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;A0A087WY81;J3KSJ0","A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;A0A087WY81","14;14;14;14;14;12;11;11;11;11;9;4","14;14;14;14;14;12;11;11;11;11;9;4","14;14;14;14;14;12;11;11;11;11;9;4","60S ribosomal protein L17 (Fragment);60S ribosomal protein L17 (Fragment);60S ribosomal protein L17 (Fragment);Protein RPL17-C18orf32;60S ribosomal protein L17;60S ribosomal protein L17;60S ribosomal protein L17 (Fragment);60S ribosomal protein L17 (Fragme",12,14,14,14
"59","A0A087WXM8;P50895;K7ENU8","A0A087WXM8;P50895;K7ENU8","A0A087WXM8;P50895;K7ENU8","2;2;1","2;2;1","2;2;1","Basal cell adhesion molecule;Basal cell adhesion molecule;Basal cell adhesion molecule (Fragment)",3,2,2,2
